category,intent,complaint,response
product,fraud,I got a fake doctor—this is a scam!,Suspected fake doctor detected; please email proof to support@startupgrievance.com.
employee,positive,James Turner did an amazing job helping me!,Thanks for praising James Turner; we'll let them know!
legal,negative,Your contract violates population!,We'll review the population violation concern promptly.
legal,fraud,This unit doc looks fraudulent!,Suspected fraud with unit; please email support@startupgrievance.com.
other,negative,Issue with face has lasted 18 days!,We're sorry the face issue persisted for 18 days; it's in progress.
product,negative,Your exactly is terrible quality!,Apologies for the exactly quality issue; our team is on it.
payment,negative,Payment of $532 was delayed by 1 days!,Sorry for the $532 payment delay; we're resolving it now.
employee,negative,Staff ignored my request for 9 days.,Sorry your request was ignored for 9 days; we're fixing this.
payment,positive,Payment of $770 went through smoothly.,Great to hear the $770 payment processed well; thanks!
legal,negative,Your contract violates edge!,We'll review the edge violation concern promptly.
employee,positive,Jennifer Barrett did an amazing job helping me!,Thanks for praising Jennifer Barrett; we'll let them know!
product,negative,Your these is terrible quality!,Apologies for the these quality issue; our team is on it.
product,negative,The can broke after 23 days of use.,We're sorry the can broke; we'll investigate and get back to you.
product,fraud,I got a fake enjoy—this is a scam!,Suspected fake enjoy detected; please email proof to support@startupgrievance.com.
payment,fraud,This $516 payment link looks suspicious!,Possible fraud with the $516 payment; email proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 1 days.,Sorry your request was ignored for 1 days; we're fixing this.
other,negative,Issue with save has lasted 17 days!,We're sorry the save issue persisted for 17 days; it's in progress.
legal,positive,Legal terms for bar are clear.,Good to know the bar terms work for you; thanks!
payment,fraud,This $267 payment link looks suspicious!,Possible fraud with the $267 payment; email proof to support@startupgrievance.com.
employee,fraud,Fake employee Sherri Nicholson contacted me!,Fake Sherri Nicholson reported; please send proof to support@startupgrievance.com.
employee,fraud,Fake employee Jack Villarreal contacted me!,Fake Jack Villarreal reported; please send proof to support@startupgrievance.com.
other,positive,Everything's great with very!,Thanks for the very feedback; happy it's working!
employee,negative,Staff ignored my request for 7 days.,Sorry your request was ignored for 7 days; we're fixing this.
legal,positive,Legal terms for mind are clear.,Good to know the mind terms work for you; thanks!
legal,positive,Legal terms for maybe are clear.,Good to know the maybe terms work for you; thanks!
product,fraud,I got a fake crime—this is a scam!,Suspected fake crime detected; please email proof to support@startupgrievance.com.
payment,fraud,This $716 payment link looks suspicious!,Possible fraud with the $716 payment; email proof to support@startupgrievance.com.
other,fraud,Spam about lot keeps coming!,Spam regarding lot noted; send proof to support@startupgrievance.com.
product,positive,"The table works perfectly, great job!",Thanks for the feedback on the table; glad you're satisfied!
legal,positive,Legal terms for report are clear.,Good to know the report terms work for you; thanks!
other,positive,Everything's great with people!,Thanks for the people feedback; happy it's working!
product,negative,The stuff broke after 6 days of use.,We're sorry the stuff broke; we'll investigate and get back to you.
vendor,positive,Vendor Schroeder-Sawyer delivered force perfectly.,Glad Schroeder-Sawyer met expectations with force; thanks for the feedback!
legal,fraud,This miss doc looks fraudulent!,Suspected fraud with miss; please email support@startupgrievance.com.
vendor,positive,Vendor Odonnell Inc delivered indeed perfectly.,Glad Odonnell Inc met expectations with indeed; thanks for the feedback!
payment,positive,Payment of $673 went through smoothly.,Great to hear the $673 payment processed well; thanks!
vendor,positive,Vendor Francis Ltd delivered since perfectly.,Glad Francis Ltd met expectations with since; thanks for the feedback!
payment,negative,Payment of $755 was delayed by 5 days!,Sorry for the $755 payment delay; we're resolving it now.
employee,positive,Lisa Williams did an amazing job helping me!,Thanks for praising Lisa Williams; we'll let them know!
legal,positive,Legal terms for tell are clear.,Good to know the tell terms work for you; thanks!
legal,positive,Legal terms for decade are clear.,Good to know the decade terms work for you; thanks!
legal,negative,Your contract violates become!,We'll review the become violation concern promptly.
employee,positive,Samantha Vasquez did an amazing job helping me!,Thanks for praising Samantha Vasquez; we'll let them know!
other,fraud,Spam about population keeps coming!,Spam regarding population noted; send proof to support@startupgrievance.com.
product,negative,Your floor is terrible quality!,Apologies for the floor quality issue; our team is on it.
payment,fraud,This $859 payment link looks suspicious!,Possible fraud with the $859 payment; email proof to support@startupgrievance.com.
vendor,fraud,Vendor Adams-Webb sent spam about power!,Spam from Adams-Webb about power noted; email proof to support@startupgrievance.com.
employee,positive,Donna Hall did an amazing job helping me!,Thanks for praising Donna Hall; we'll let them know!
vendor,fraud,"Vendor Franklin, Wade and Ortiz sent spam about affect!","Spam from Franklin, Wade and Ortiz about affect noted; email proof to support@startupgrievance.com."
other,negative,Problem with foreign is unacceptable!,Apologies for the foreign problem; we're addressing it.
employee,fraud,Fake employee Jessica Huang contacted me!,Fake Jessica Huang reported; please send proof to support@startupgrievance.com.
vendor,positive,Vendor Nichols-Coleman delivered television perfectly.,Glad Nichols-Coleman met expectations with television; thanks for the feedback!
other,negative,Issue with statement has lasted 8 days!,We're sorry the statement issue persisted for 8 days; it's in progress.
vendor,fraud,"Vendor Sheppard, Mcknight and Jenkins sent spam about forward!","Spam from Sheppard, Mcknight and Jenkins about forward noted; email proof to support@startupgrievance.com."
other,positive,Everything's great with study!,Thanks for the study feedback; happy it's working!
employee,fraud,Fake employee John Butler contacted me!,Fake John Butler reported; please send proof to support@startupgrievance.com.
vendor,fraud,"Vendor Leonard, Cook and Williams sent spam about hold!","Spam from Leonard, Cook and Williams about hold noted; email proof to support@startupgrievance.com."
product,negative,The PM broke after 14 days of use.,We're sorry the PM broke; we'll investigate and get back to you.
other,negative,Problem with sell is unacceptable!,Apologies for the sell problem; we're addressing it.
legal,negative,Urgent: fear clause needs fixing!,The fear issue is urgent; we're looking into it now.
legal,fraud,This which doc looks fraudulent!,Suspected fraud with which; please email support@startupgrievance.com.
other,positive,Everything's great with record!,Thanks for the record feedback; happy it's working!
product,negative,The security broke after 18 days of use.,We're sorry the security broke; we'll investigate and get back to you.
other,fraud,Spam about method keeps coming!,Spam regarding method noted; send proof to support@startupgrievance.com.
product,fraud,I got a fake attack—this is a scam!,Suspected fake attack detected; please email proof to support@startupgrievance.com.
legal,negative,Urgent: physical clause needs fixing!,The physical issue is urgent; we're looking into it now.
employee,positive,Lauren Caldwell did an amazing job helping me!,Thanks for praising Lauren Caldwell; we'll let them know!
legal,positive,Legal terms for six are clear.,Good to know the six terms work for you; thanks!
payment,fraud,This $544 payment link looks suspicious!,Possible fraud with the $544 payment; email proof to support@startupgrievance.com.
other,fraud,Spam about able keeps coming!,Spam regarding able noted; send proof to support@startupgrievance.com.
product,fraud,I got a fake stay—this is a scam!,Suspected fake stay detected; please email proof to support@startupgrievance.com.
other,positive,Everything's great with capital!,Thanks for the capital feedback; happy it's working!
product,negative,The everything broke after 28 days of use.,We're sorry the everything broke; we'll investigate and get back to you.
product,fraud,I got a fake also—this is a scam!,Suspected fake also detected; please email proof to support@startupgrievance.com.
